FID,the_geom,SD_Pcode,D_Pcode,District,TS_Pcode,Township,Town_Pcode,Town_MM,Town,State_Divi,Longitude,Latitude,Level,Source,Lat_Long,Remark
mmr_town_january_2020.53,POINT (98.6457918957 12.9753059471),MMR006,MMR006D002,Myeik,MMR006007,Palaw,MMR006007701,ပုလော,Palaw,Tanintharyi,98.6457919,12.97530595,Main Town,"GAD, Mar 2015","12.9753059471,98.6457918957",
mmr_town_january_2020.54,POINT (98.64453 23.40727),MMR015,MMR015D001,Lashio,MMR015020,Kunlong,MMR015020701,ကွမ်းလုံ,Kunlong,Shan (North),98.64453,23.40727,Main Town,"GAD, Mar 2015","23.40727,98.64453",
mmr_town_january_2020.55,POINT (98.625 10.353),MMR006,MMR006D003,Kawthoung,MMR006009,Kawthoung,MMR006009702,ခမောက်ကြီး,Khamaukgyi,Tanintharyi,98.625,10.353,Other Town,"GAD, Mar 2015","10.353,98.625",
mmr_town_january_2020.56,POINT (98.62212 13.27098),MMR006,MMR006D002,Myeik,MMR006007,Palauk,MMR006007702,ပလောက်,Palauk,Tanintharyi,98.62212,13.27098,Other Town,"GAD, Mar 2015","13.27098,98.62212",
mmr_town_january_2020.57,POINT (98.612 22.94789),MMR015,MMR015D331,Mong Maw (Wa SAD),MMR015303,Man Tun,MMR015303701,မန်တွန်း,Man Tun,Shan (North),98.612,22.94789,Other Town,Field Sources,"22.94789,98.612",Town not included in the GAD Gazette
mmr_town_january_2020.58,POINT (98.60978 12.44112),MMR006,MMR006D002,Myeik,MMR006005,Myeik,MMR006005701,မြိတ်,Myeik,Tanintharyi,98.60978,12.44112,District Capital,"GAD, Mar 2015","12.44112,98.60978",
mmr_town_january_2020.59,POINT (98.59621 16.15439),MMR003,MMR003D002,Myawaddy,MMR003005,Myawaddy,MMR003005702,စုကလိ,Su Ka Li,Kayin,98.59621,16.15439,Other Town,"GAD, Mar 2015","16.15439,98.59621",
mmr_town_january_2020.60,POINT (98.59519 22.68954),MMR015,MMR015D007,Matman,MMR015005,Pangsang,MMR015005702,မန်ကန်,Man Kan,Shan (North),98.59519,22.68954,Other Town,"GAD, Mar 2015","22.68954,98.59519",
mmr_town_january_2020.61,POINT (98.5499529834 9.98260986197),MMR006,MMR006D003,Kawthoung,MMR006009,Kawthoung,MMR006009701,ကော့သောင်း,Kawthoung,Tanintharyi,98.54995298,9.982609862,District Capital,"GAD, Mar 2015","9.98260986197,98.5499529834",
mmr_town_january_2020.62,POINT (98.5670835 19.7978983),MMR016,MMR016D002,Monghsat,MMR016008,Mongton,MMR016008703,မုံးထ,Hmone Hta,Shan (East),98.5670835,19.7978983,Other Town,"GAD, Mar 2015","19.7978983,98.5670835",
mmr_town_january_2020.63,POINT (98.53934 23.82946),MMR015,MMR015D005,Laukkaing,MMR015023,Konkyan,MMR015023701,ကုန်းကြမ်း,Konkyan,Shan (North),98.53934,23.82946,Main Town,"GAD, Mar 2015","23.82946,98.53934",
mmr_town_january_2020.64,POINT (98.52017 14.16355),MMR006,MMR006D001,Dawei,MMR006001,Dawei,MMR006001702,မေတ္တာ,Myitta,Tanintharyi,98.52017,14.16355,Other Town,"GAD, Mar 2015","14.16355,98.52017",
mmr_town_january_2020.65,POINT (98.51303563 16.6886775819),MMR003,MMR003D002,Myawaddy,MMR003005,Myawaddy,MMR003005701,မြဝတီ,Myawaddy,Kayin,98.51303563,16.68867758,District Capital,"GAD, Mar 2015","16.6886775819,98.51303563",
mmr_town_january_2020.66,POINT (98.4544308596 12.4738602304),MMR006,MMR006D002,Myeik,MMR006006,Kyunsu,MMR006006701,ကျွန်းစု,Kyunsu,Tanintharyi,98.45443086,12.47386023,Main Town,"GAD, Mar 2015","12.4738602304,98.4544308596",
mmr_town_january_2020.67,POINT (98.424 21.301),MMR014,MMR014D002,Loilen,MMR014014,Kunhing,MMR014014701,ကွန်ဟိန်း,Kunhing,Shan (South),98.424,21.301,Main Town,"GAD, Mar 2015","21.301,98.424",
mmr_town_january_2020.68,POINT (98.3968 22.4981),MMR015,MMR015D001,Lashio,MMR015004,Tangyan,MMR015004701,တန့်ယန်း,Tangyan,Shan (North),98.3968,22.4981,Main Town,"GAD, Mar 2015","22.4981,98.3968",
mmr_town_january_2020.69,POINT (98.3926839597 16.0025306161),MMR003,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,MMR003007703,ကျိုက်ဒုံ,Kyaikdon,Kayin,98.39268396,16.00253062,Other Town,"GAD, Mar 2015","16.0025306161,98.3926839597",
mmr_town_january_2020.70,POINT (98.37863 25.59866),MMR001,MMR001D001,Myitkyina,MMR001005,Chipwi,MMR001005702,ပန်ဝါ မ,Pang War,Kachin,98.37863,25.59866,Other Town,"GAD, Mar 2015","25.59866,98.37863",
mmr_town_january_2020.71,POINT (98.37808 15.30444),MMR003,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,MMR003007702,ဘုရားသုံးဆူ,Hpayarthonesu,Kayin,98.37808,15.30444,Other Town,"GAD, Mar 2015","15.30444,98.37808",
mmr_town_january_2020.72,POINT (98.36456 21.65989),MMR014,MMR014D002,Loilen,MMR014017,Monghsu,MMR014017702,မိုင်းစံ (မုန်းဆန်း),Mongsan (Hmonesan),Shan (South),98.36456,21.65989,Other Town,"GAD, Mar 2015","21.65989,98.36456",
mmr_town_january_2020.73,POINT (98.3603427383 27.0604297567),MMR001,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,MMR001018701,ခေါင်လန်ဖူး,Khaunglanhpu,Kachin,98.36034274,27.06042976,Main Town,"GAD, Mar 2015","27.0604297567,98.3603427383",
mmr_town_january_2020.74,POINT (98.36044 21.90513),MMR014,MMR014D002,Loilen,MMR014017,Monghsu,MMR014017701,မိုင်းရှူး,Monghsu,Shan (South),98.36044,21.90513,Main Town,"GAD, Mar 2015","21.90513,98.36044",
mmr_town_january_2020.75,POINT (98.3541 20.3188),MMR014,MMR014D003,Langkho,MMR014021,Mongpan,MMR014021701,မိုင်းပန်,Mongpan,Shan (South),98.3541,20.3188,Main Town,"GAD, Mar 2015","20.3188,98.3541",
