,Filename,PDF Link,Title
49,Leaflet No.11.Aung Soe(Eucalyptu).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.11.Aung%20Soe%28Eucalyptu%29_0.pdf,Study on the Status of Eucalypt Houses
50,Leaflet No.10.Dr_.Chaw Chaw Sein.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.10.Dr_.Chaw%20Chaw%20Sein_0.pdf,"Investigation on Tree Species Composition and Aboveground Biomass, Tree growth and Productivity after Seven Years of Rehabilitation through Natural Means in the Ngahlaingsan Degraded Forests"
51,Leaflet No.9.Dr_.Nyunt Khaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.9.Dr_.Nyunt%20Khaing_1.pdf,Performance of Native Tree Species to Dry land Environmental Stresses
52,Leaflet No.8. Thida Swe (Inlay).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.8.%20Thida%20Swe%20%28Inlay%29_0.pdf,Assessment of Water Quality of Inlay Lake
53,Leaflet No.7.Khin Mar Myint.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.7.Khin%20Mar%20Myint_0.pdf,Comparative Study on the Control Measures of Teak Beehole Borer Xyleutes ceramicus Wlk. (Lepidoptera: Cossidae) in Teak Plantations
54,Leaflet No.6.WaiWaiThan.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.6.WaiWaiThan_0.pdf,Examine on presence fungi from some naturally infected agar wood of some parts of Myanmar
55,Leaflet No.5.Dr_. Yazar Min.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.5.Dr_.%20Yazar%20Min_0.pdf,Genetic Variation of Teak (Tectona grandis Linn. f.) in Myanmar revealed by Amplified Fragment Length Polymorphisms (AFLPs)
56,Leaflet No.4.Zar Chi Hlaing.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.4.Zar%20Chi%20Hlaing.pdf,"The Growth of Teak (Tectona grandis Linn.f) Plantations at the age of 10, 15 and 20 Years Old in Bago and Paukkaung Townships"
57,Leaflet No.3.Thida Swe (teak).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.3.Thida%20Swe%20%28teak%29_0.pdf,Tree Ring Analysis on Teak (Tectona grandis Linn. F.)
58,Leaflet No.2.Dr_.Rosy_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.2.Dr_.Rosy__0.pdf,"The Effect of Selective Logging on stand structure and regeneration of Teak Bearing Forests in the Kabaung Reserved Forest, Bago Mountains, Myanmar"
59,Leaflet No.1. Dr Tin Min Mg.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.1.%20Dr%20Tin%20Min%20Mg_0.pdf,Facilitating Public Private Community Partnership for Effective Governance of Vulnerable Forest Lands
60,Leaflet No. 12-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2012-2012_0.pdf,Utilization Potential of Eucalyptus camaldulensis Dehn. as a Construction Material
61,Leaflet No. 11-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2011-2012_0.pdf,Study on Shoot and Culm Development of Hmyin (Dendrocalamus strictus (Roxb.) Nees) in Old Aged Bamboo Plantation in Moeswe
62,Leaflet No. 10-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2010-2012_0.pdf,The Effect of Different Pretreatments on the Germination of Aleurites montana (Lour.) Wils. and Aleurites moluccana (L.) Willd.
63,Leaflet No. 9-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%209-2012_0.pdf,Study on The Effect of Fertilizer Application in Tung -Oil (Aleurites montana (Lour.) Wils) Plantation
64,Leaflet No. 8-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%208-2012.pdf,A Follow-up Study on Provenance Trial of Teak
65,Leaflet No. 7-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%207-2012_0.pdf,"Assessment of Teak (Tectona grandis Linn.f) Provenance Test in the Bago Yoma Region, Myanmar"
66,Leaflet No. 6-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%206-2012_0.pdf,Decay Resistance of Acetylated Three Lesser - Used Timber Species of Myanmar
67,Leaflet No. 5-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%205-2012.pdf,"Comparison of the effectiveness of weeding methods to control Forest Invasive Species, Pennisetum grass in Teak plantation"
68,Leaflet No. 3-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%203-2012_0.pdf,Carbon Sequestration of Pure Teak (Tectona grandis Linn f.) and Mixed Species Plantations in Bago Yoma Region of Myanmar
69,Leaflet No. 2-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%202-2012_0.pdf,Assessment of forest cover dynamics and their driving forces in Kabaung Reserved Forest using remote sensing and GIS
70,Leaflet No. 1-2012.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%201-2012.pdf,Survey on Application of Current Research Activities to Support Future Research Program in Forestry Sector
71,Leaflet No. 19 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2019%20_2009_.pdf,Study on Effective Treatment for Production of “Teak Oil” (Teak Varnish) from Tung Oil
72,Leaflet No. 18 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2018%20_2009__0.pdf,Preliminary Survey on the Infestation of Insect Pests on the Nursery and Plantation of Tung Oil Tree (Aleurites montana (Lour.) E.H.Wils) in Northern Shan State
73,Leaflet No. 17 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2017%20_2009__1.pdf,Development of Rooted Cutting Method for Vegetative Propagation of Aleurites montana (Lour.) E.H.Wils.
74,Leaflet No. 16 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2016%20_2009_.pdf,Identification and Salient Characteristics of Tung Oil Trees in Myanmar
75,Leaflet No. 14 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2014%20_2009_.pdf,"Preliminary Survey on Medicinal Values of Some Dendrobium Species Occurring in Kutkai Township, Northern Shan State"
76,Leaflet No. 13 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2013%20_2009_.pdf,Collecting Information of Health Problems of Some Exotic Forest Trees and Agricultural Crops in Myanmar
77,Leaflet No. 12 _2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2012%20_2009__0.pdf,Utilization Potential of Sawmill Residues for Particleboard Manufacturing in Myanmar
78,Leaflet No. 11_2009_.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2011_2009__0.pdf,"Preliminary Screening and Categorization of Forestry Related Literatures (Technical, Books, Article, etc.) in Myanmar"
79,Leaflet No. 08_2009_(U Myo Myint).pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2008_2009_%28U%20Myo%20Myint%29_0.pdf,"The Analysis on the Status, Care and Management of Elephants in Myanmar"
80,"Leaflet No. 07 _2009_(U Than Soe Oo,FD,Mandalay).pdf",https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2007%20_2009_%28U%20Than%20Soe%20Oo%2CFD%2CMandalay%29_0.pdf,Comparison of Growth Performances of Teak (Tectona grandis Linn. f.) and Padauk (Pterocarpus macrocarpus Kurz.) by Line Enrichment Planting in Ngalaik Reserved Forest
81,"Leaflet No. 02 _2009_(Dr. Min Thant Zin,UOF).pdf",https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/Leaflet%20No.%2002%20_2009_%28Dr.%20Min%20Thant%20Zin%2CUOF%29.pdf,Livelihood Assessment in Support to Formulation of Buffer Zone Management for the Tanintharyi Nature Reserve
82,10-2008.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/10-2008_0.pdf,"Density, Specific Gravity and Dimensional Stability of Seventy- Five Timber Species in Myanmar"
83,8-2008.pdf,https://www.forestdepartment.gov.mm/sites/default/files/Research%20Books%20file/8-2008.pdf,Investigation on Chemical Properties of Some Myanmar Bamboo Species
